store_no,chain_no,chain,geoaddress,geocity,geostate,geozip,geozip4,county,dma_market,dma_no,segment,subsegment,category,latitude,longitude,geoquality,yr_built,co_fr,co_fr_no,seg_no
487610,6575,Another Broken Egg,2375 W BROAD ST,ATHENS,GA,30606,3453.0,CLARKE,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,33.947823,-83.415184,1BEST(Actual),2023,COMPANY,0.0,2
483494,6575,Another Broken Egg,2285 PEACHTREE RD NE,ATLANTA,GA,30309,1142.0,FULTON,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,33.816381,-84.38954,1BEST(Actual),2022,,,2
416213,6575,Another Broken Egg,4745 ASHFORD DUNWOODY RD,ATLANTA,GA,30338,5570.0,DE KALB,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,33.93285,-84.337358,1BEST(Address),2013,COMPANY,0.0,2
439555,6575,Another Broken Egg,10800 ALPHARETTA HWY,ROSWELL,GA,30076,1490.0,FULTON,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,34.043586,-84.342304,1BEST(Actual),2017,COMPANY,0.0,2
416208,6575,Another Broken Egg,11030 MEDLOCK BRIDGE RD,JOHNS CREEK,GA,30097,3502.0,FULTON,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,34.050907,-84.176433,1BEST(Actual),2014,COMPANY,0.0,2
416238,6575,Another Broken Egg,4300 PACES FERRY RD SE,ATLANTA,GA,30339,5703.0,COBB,ATLANTA  GA,524,FSR,FSR-Family,Coffee Shop,33.864393,-84.466244,1BEST(Actual),2013,FRANCHISE,1.0,2
496633,6575,Another Broken Egg,1095 ALEXANDER DR,AUGUSTA,GA,30909,,RICHMOND,AUGUSTA  GA,520,FSR,FSR-Family,Coffee Shop,33.512082,-82.027682,1BEST(Address),2024,,,2
455748,6575,Another Broken Egg,201C TANGER OUTLETS BLVD,POOLER,GA,31322,5174.0,CHATHAM,SAVANNAH  GA,507,FSR,FSR-Family,Coffee Shop,32.137136,-81.246862,1BEST(Address),2018,FRANCHISE,1.0,2
488898,6575,Another Broken Egg,810 HIGHWAY 96,WARNER ROBINS,GA,31088,,HOUSTON,MACON  GA,503,FSR,FSR-Family,Coffee Shop,32.554253,-83.66398,1BEST(Address),2023,,,2
499694,6575,Another Broken Egg,234 HARRISON BRIDGE RD,SIMPSONVILLE,SC,29680,,GREENVILLE,GREENVILLE  SC,567,FSR,FSR-Family,Coffee Shop,34.705404,-82.246504,1BEST(Address),2024,,,2
421344,6575,Another Broken Egg,1025 WOODRUFF RD,GREENVILLE,SC,29607,4132.0,GREENVILLE,GREENVILLE  SC,567,FSR,FSR-Family,Coffee Shop,34.83346,-82.308257,1BEST(Actual),2015,COMPANY,0.0,2
319253,7050,Applebee's,105 E RIDGEWAY RD,COMMERCE,GA,30529,6269.0,BANKS,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.256504,-83.466774,1BEST(Actual),2004,COMPANY,0.0,2
191396,7050,Applebee's,1901 MEMORIAL DR,WAYCROSS,GA,31501,1095.0,WARE,JACKSONVILLE  FL,561,FSR,FSR-Dining,Casual Dining,31.204386,-82.333862,1BEST(Actual),1994,FRANCHISE,1.0,2
232776,7050,Applebee's,2004 VETERANS BLVD,DUBLIN,GA,31021,3030.0,LAURENS,MACON  GA,503,FSR,FSR-Dining,Casual Dining,32.540637,-82.948987,1BEST(Actual),1998,FRANCHISE,1.0,2
232777,7050,Applebee's,808 7TH ST W,TIFTON,GA,31794,8025.0,TIFT,ALBANY  GA,525,FSR,FSR-Dining,Casual Dining,31.449961,-83.526939,1BEST(Actual),1998,FRANCHISE,1.0,2
242561,7050,Applebee's,106 ROBERSON MILL RD NE,MILLEDGEVILLE,GA,31061,4901.0,BALDWIN,MACON  GA,503,FSR,FSR-Dining,Casual Dining,33.107532,-83.255355,1BEST(Actual),1999,FRANCHISE,1.0,2
249755,7050,Applebee's,421 VETERANS PKWY N,MOULTRIE,GA,31788,9120.0,COLQUITT,ALBANY  GA,525,FSR,FSR-Dining,Casual Dining,31.188128,-83.762495,1BEST(Actual),1999,FRANCHISE,1.0,2
408387,7050,Applebee's,1008 HIGHWAY 53 SE,CALHOUN,GA,30701,,GORDON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.468473,-84.914498,1BEST(Actual),2014,FRANCHISE,1.0,2
191399,7050,Applebee's,637 N WESTOVER BLVD,ALBANY,GA,31707,2193.0,DOUGHERTY,ALBANY  GA,525,FSR,FSR-Dining,Casual Dining,31.61299,-84.223619,1BEST(Actual),1990,FRANCHISE,1.0,2
314836,7050,Applebee's,5176 HIGHWAY 278 NE,COVINGTON,GA,30014,,NEWTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.602413,-83.84603,1BEST(Address),2003,FRANCHISE,1.0,2
276431,7050,Applebee's,4685 NELSON BROGDON BLVD,SUGAR HILL,GA,30518,3490.0,GWINNETT,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.101667,-84.01957,1BEST(Actual),2000,FRANCHISE,1.0,2
277322,7050,Applebee's,1647 N EXPRESSWAY,GRIFFIN,GA,30223,1276.0,SPALDING,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.27709,-84.29217,1BEST(Actual),1999,COMPANY,0.0,2
316026,7050,Applebee's,550 THORNTON RD,LITHIA SPRINGS,GA,30122,1591.0,DOUGLAS,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.790603,-84.624559,1BEST(Actual),2003,FRANCHISE,1.0,2
292265,7050,Applebee's,2945 STONECREST CIR,LITHONIA,GA,30038,2688.0,DE KALB,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.69834,-84.09062,1BEST(Actual),2002,COMPANY,0.0,2
270325,7050,Applebee's,6915 DOUGLAS BLVD,DOUGLASVILLE,GA,30135,7127.0,DOUGLAS,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.726364,-84.757455,1BEST(Actual),2000,FRANCHISE,1.0,2
302400,7050,Applebee's,1105 S PARK ST,CARROLLTON,GA,30117,4429.0,CARROLL,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.560707,-85.073585,1BEST(Actual),1997,COMPANY,0.0,2
302380,7050,Applebee's,1925 SCENIC HWY N,SNELLVILLE,GA,30078,2149.0,GWINNETT,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.874289,-84.014385,1BEST(Actual),1995,FRANCHISE,1.0,2
348621,7050,Applebee's,145 MARTIN LUTHER KING JR BLVD,MONROE,GA,30655,5621.0,WALTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.793598,-83.743057,1BEST(Actual),2006,COMPANY,0.0,2
334327,7050,Applebee's,31 BETHEL DR,DAWSONVILLE,GA,30534,9412.0,DAWSON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.345888,-84.049238,1BEST(Actual),2005,COMPANY,0.0,2
190941,7050,Applebee's,4705 MEMORIAL DR,DECATUR,GA,30032,1415.0,DE KALB,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.782739,-84.235961,1BEST(Actual),1983,COMPANY,0.0,2
191229,7050,Applebee's,2728 SPRING RD SE,ATLANTA,GA,30339,,COBB,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.885007,-84.473197,1BEST(Address),1994,COMPANY,0.0,2
191228,7050,Applebee's,2445 MALL BLVD NW,KENNESAW,GA,30144,4996.0,COBB,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.014966,-84.561329,1BEST(Actual),1990,FRANCHISE,1.0,2
191225,7050,Applebee's,185 CHEROKEE PL,CARTERSVILLE,GA,30121,2966.0,BARTOW,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.170778,-84.784308,1BEST(Actual),1996,COMPANY,0.0,2
191224,7050,Applebee's,655 DULUTH HWY,LAWRENCEVILLE,GA,30046,7672.0,GWINNETT,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.966027,-84.00834,1BEST(Actual),1989,FRANCHISE,1.0,2
191239,7050,Applebee's,504 LAKELAND PLZ,CUMMING,GA,30040,2730.0,FORSYTH,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.184794,-84.14137,1BEST(Actual),1993,FRANCHISE,1.0,2
191238,7050,Applebee's,5200 STONE MOUNTAIN HWY,STONE MOUNTAIN,GA,30087,3413.0,GWINNETT,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.823048,-84.108838,1BEST(Actual),1988,COMPANY,0.0,2
191240,7050,Applebee's,1448 DOGWOOD DR SE,CONYERS,GA,30013,5037.0,ROCKDALE,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.65048,-83.99663,1BEST(Actual),1990,FRANCHISE,1.0,2
191243,7050,Applebee's,6727 TARA BLVD,JONESBORO,GA,30236,1402.0,CLAYTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.57067,-84.37266,1BEST(Actual),1985,COMPANY,0.0,2
191232,7050,Applebee's,2095 PLEASANT HILL RD,DULUTH,GA,30096,4627.0,GWINNETT,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.957144,-84.133982,1BEST(Actual),1986,FRANCHISE,1.0,2
198958,7050,Applebee's,971 HIGHWAY 34 E,NEWNAN,GA,30265,2130.0,COWETA,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.396065,-84.745103,1BEST(Actual),1996,COMPANY,0.0,2
232766,7050,Applebee's,1421 RIVERSTONE PKWY,CANTON,GA,30114,5611.0,CHEROKEE,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.251093,-84.474636,1BEST(Actual),1998,FRANCHISE,1.0,2
249721,7050,Applebee's,3690 CASCADE RD SW,ATLANTA,GA,30331,2106.0,FULTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.722993,-84.509016,1BEST(Actual),1999,FRANCHISE,1.0,2
191233,7050,Applebee's,3676 HIGHWAY 138 SE,STOCKBRIDGE,GA,30281,4172.0,CLAYTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.55205,-84.27127,1BEST(Actual),1994,FRANCHISE,1.0,2
249738,7050,Applebee's,815 INDUSTRIAL BLVD,MCDONOUGH,GA,30253,6616.0,HENRY,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.426122,-84.17737,1BEST(Actual),1999,COMPANY,0.0,2
249747,7050,Applebee's,792 GLYNN ST N,FAYETTEVILLE,GA,30214,1193.0,FAYETTE,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.467244,-84.448158,1BEST(Actual),2000,COMPANY,0.0,2
424986,7050,Applebee's,544 CARL BETHLEHEM RD SW,BETHLEHEM,GA,30620,2104.0,BARROW,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.940919,-83.753834,1BEST(Actual),2015,COMPANY,0.0,2
420960,7050,Applebee's,901 RIDGEWALK PKWY,WOODSTOCK,GA,30188,4895.0,CHEROKEE,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.121552,-84.523954,1BEST(Actual),2014,FRANCHISE,1.0,2
424984,7050,Applebee's,4789 ATLANTA HWY,LOGANVILLE,GA,30052,7307.0,WALTON,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,33.832517,-83.882304,1BEST(Actual),2015,FRANCHISE,1.0,2
282343,7050,Applebee's,505 N BELAIR RD,EVANS,GA,30809,3005.0,COLUMBIA,AUGUSTA  GA,520,FSR,FSR-Dining,Casual Dining,33.533854,-82.129575,1BEST(Actual),2001,FRANCHISE,1.0,2
330281,7050,Applebee's,2125 WINDSOR SPRING RD,AUGUSTA,GA,30906,5901.0,RICHMOND,AUGUSTA  GA,520,FSR,FSR-Dining,Casual Dining,33.408396,-82.029981,1BEST(Actual),2005,FRANCHISE,1.0,2
191196,7050,Applebee's,3117 WASHINGTON RD,AUGUSTA,GA,30907,3826.0,RICHMOND,AUGUSTA  GA,520,FSR,FSR-Dining,Casual Dining,33.514404,-82.055043,1BEST(Actual),1987,COMPANY,0.0,2
408396,7050,Applebee's,4015 GATEWAY BLVD,GROVETOWN,GA,30813,3195.0,COLUMBIA,AUGUSTA  GA,520,FSR,FSR-Dining,Casual Dining,33.47805,-82.19612,1BEST(Actual),2013,COMPANY,0.0,2
345521,7050,Applebee's,2219 BATTLEFIELD PKWY,FORT OGLETHORPE,GA,30742,4029.0,CATOOSA,CHATTANOOGA  TN,575,FSR,FSR-Dining,Casual Dining,34.945682,-85.227114,1BEST(Actual),2006,FRANCHISE,1.0,2
345939,7050,Applebee's,2513 AIRPORT THRUWAY,COLUMBUS,GA,31904,9010.0,MUSCOGEE,COLUMBUS  GA,522,FSR,FSR-Dining,Casual Dining,32.519946,-84.957471,1BEST(Actual),2005,COMPANY,0.0,2
191192,7050,Applebee's,3229 GENTIAN BLVD,COLUMBUS,GA,31907,5624.0,MUSCOGEE,COLUMBUS  GA,522,FSR,FSR-Dining,Casual Dining,32.506123,-84.939125,1BEST(Actual),1993,COMPANY,0.0,2
191189,7050,Applebee's,1322 W WALNUT AVE,DALTON,GA,30720,3827.0,WHITFIELD,CHATTANOOGA  TN,575,FSR,FSR-Dining,Casual Dining,34.76056,-84.994523,1BEST(Actual),1990,FRANCHISE,1.0,2
340036,7050,Applebee's,1492 E OGLETHORPE HWY,HINESVILLE,GA,31313,1218.0,LIBERTY,SAVANNAH  GA,507,FSR,FSR-Dining,Casual Dining,31.857245,-81.570716,1BEST(Actual),2006,COMPANY,0.0,2
191401,7050,Applebee's,2574 RIVERSIDE DR,MACON,GA,31204,1546.0,BIBB,MACON  GA,503,FSR,FSR-Dining,Casual Dining,32.871532,-83.661521,1BEST(Actual),1995,COMPANY,0.0,2
214150,7050,Applebee's,3652 EISENHOWER PKWY,MACON,GA,31206,3677.0,BIBB,MACON  GA,503,FSR,FSR-Dining,Casual Dining,32.814849,-83.691263,1BEST(Actual),1995,FRANCHISE,1.0,2
430897,7050,Applebee's,6235 ZEBULON RD,MACON,GA,31210,2066.0,BIBB,MACON  GA,503,FSR,FSR-Dining,Casual Dining,32.880583,-83.766151,1BEST(Actual),2015,COMPANY,0.0,2
220099,7050,Applebee's,826 TURNER MCCALL BLVD SW,ROME,GA,30161,2927.0,FLOYD,ATLANTA  GA,524,FSR,FSR-Dining,Casual Dining,34.259913,-85.168013,1BEST(Actual),1991,FRANCHISE,1.0,2
346505,7050,Applebee's,587 AL HENDERSON BLVD,SAVANNAH,GA,31419,6095.0,CHATHAM,SAVANNAH  GA,507,FSR,FSR-Dining,Casual Dining,32.006684,-81.276659,1BEST(Actual),2006,COMPANY,0.0,2
191404,7050,Applebee's,11120 ABERCORN ST,SAVANNAH,GA,31419,1822.0,CHATHAM,SAVANNAH  GA,507,FSR,FSR-Dining,Casual Dining,31.980386,-81.142747,1BEST(Actual),1993,COMPANY,0.0,2
430916,7050,Applebee's,160 TANGER OUTLETS BLVD,POOLER,GA,31322,5168.0,CHATHAM,SAVANNAH  GA,507,FSR,FSR-Dining,Casual Dining,32.137387,-81.246623,1BEST(Address),2016,FRANCHISE,1.0,2
314837,7050,Applebee's,3254 INNER PERIMETER RD,VALDOSTA,GA,31602,1017.0,LOWNDES,TALLAHASSEE  FL,530,FSR,FSR-Dining,Casual Dining,30.882213,-83.290151,1BEST(Actual),2003,COMPANY,0.0,2
191393,7050,Applebee's,1301 N SAINT AUGUSTINE RD,VALDOSTA,GA,31601,3599.0,LOWNDES,TALLAHASSEE  FL,530,FSR,FSR-Dining,Casual Dining,30.843116,-83.326454,1BEST(Actual),1994,FRANCHISE,1.0,2
191405,7050,Applebee's,314 RUSSELL PKWY,WARNER ROBINS,GA,31088,6169.0,HOUSTON,MACON  GA,503,FSR,FSR-Dining,Casual Dining,32.594368,-83.628624,1BEST(Actual),1994,FRANCHISE,1.0,2
191340,7050,Applebee's,1617 BYPASS 72 NE,GREENWOOD,SC,29649,1606.0,GREENWOOD,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.215954,-82.159417,1BEST(Actual),1993,COMPANY,0.0,2
191262,7050,Applebee's,1360 WHISKEY RD,AIKEN,SC,29803,5392.0,AIKEN,AUGUSTA  GA,520,FSR,FSR-Dining,Casual Dining,33.535285,-81.72403,1BEST(Actual),1990,COMPANY,0.0,2
191347,7050,Applebee's,704 W WADE HAMPTON BLVD,GREER,SC,29650,1306.0,GREENVILLE,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.947359,-82.245173,1BEST(Actual),1992,FRANCHISE,1.0,2
191339,7050,Applebee's,3944 GRANDVIEW DR,SIMPSONVILLE,SC,29680,3163.0,GREENVILLE,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.713872,-82.251051,1BEST(Actual),1993,FRANCHISE,1.0,2
191343,7050,Applebee's,430 CONGAREE RD,GREENVILLE,SC,29607,2729.0,GREENVILLE,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.852919,-82.333189,1BEST(Actual),1986,FRANCHISE,1.0,2
191338,7050,Applebee's,3441 CLEMSON BLVD,ANDERSON,SC,29621,1356.0,ANDERSON,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.548865,-82.674199,1BEST(Actual),1987,FRANCHISE,1.0,2
191348,7050,Applebee's,5055 CALHOUN MEMORIAL HWY,EASLEY,SC,29640,3837.0,PICKENS,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.824284,-82.553769,1BEST(Actual),1990,FRANCHISE,1.0,2
282286,7050,Applebee's,125 RAINBOW LAKE RD,BOILING SPRINGS,SC,29316,6255.0,SPARTANBURG,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,35.050011,-81.985033,1BEST(Actual),2001,FRANCHISE,1.0,2
301723,7050,Applebee's,1950 E MAIN ST,SPARTANBURG,SC,29307,2305.0,SPARTANBURG,GREENVILLE  SC,567,FSR,FSR-Dining,Casual Dining,34.970503,-81.888715,1BEST(Actual),1997,COMPANY,,2
