store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
487610,D-,71.0,1196.0,C,BRKEGG(D/C),BRKEGG(D<-),95.0,2024.0,,1.0,,,BRKEGG,,,,BRKEGG,,,,,2024
483494,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
416213,C,95.0,1600.0,B-,BRKEGG(C/B),BRKEGG(C<C),112.0,2022.0,2021.0,2.0,,C,BRKEGG(C),100.0,1460.0,B-,BRKEGG(C/B),111.0,2020.0,2017.0,3.0,2024
439555,D-,72.0,1212.0,C-,BRKEGG(D/C),BRKEGG(D<D),93.0,2024.0,2022.0,4.0,,D,BRKEGG(D),79.0,1153.0,D+,BRKEGG(D/D),85.0,2020.0,2019.0,2.0,2024
416208,D,78.0,1314.0,C,BRKEGG(D/C),BRKEGG(D<D),104.0,2023.0,2022.0,2.0,,D,BRKEGG(D),83.0,1212.0,C-,BRKEGG(D/C),91.0,2018.0,2017.0,3.0,2024
416238,A-,134.0,2257.0,A+,BRKEGG(A/A),BRKEGG(A<A),149.0,2022.0,,1.0,,A,BRKEGG(A),138.0,2015.0,A+,BRKEGG(A/A),149.0,2019.0,2015.0,2.0,2024
496633,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
455748,B-,112.0,1886.0,C,BRKEGG(B/C),BRKEGG(B<C),100.0,2023.0,2021.0,2.0,,C-,BRKEGG(C),91.0,1329.0,C,BRKEGG(C/C),100.0,2020.0,,1.0,2024
488898,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
499694,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
