OVIS ID,OVIS Invoice,OVIS Amount,OVIS Client,OVIS Deal,Payment Received,Invoice Sent
41d34f10-cd01-4a57-9d21-ac78583d9e51,1774,6000,Jimmy Johns - Elias,JJ - Elias - Cedarcrest Centre,false,true
9a320e3c-aaa1-45f9-927e-ad408b17b205,,9114,"Buffalo Wild Wings, Inc.",BWW - GO - Tucker,true,false
466560f0-a176-406e-8d11-bc93e92e128a,,9114,"Buffalo Wild Wings, Inc.",BWW - GO - Tucker,true,false
c5f00ba7-181b-4d67-b6ec-bb3234c268fb,1724,19620,Central Bark,Central Bark - Athens,false,false
97e572dc-6704-43f8-b6ea-06927cc84255,1768,8448.3,BWW GO - Jigar,BWW GO - Jigar - Auburn,true,true
e6edeeae-edf1-4c95-873c-1b76768b12c4,1769,8448.3,BWW GO - Jigar,BWW GO - Jigar - Auburn,false,false
317adb4c-982e-4f94-9bdd-c9577ee14db5,1765,9854.75,"PJ's Coffee of New Orleans, LLC","PJs Coffee - Collier Rd Atlanta, GA",false,false
0d84c721-3c16-485a-8f1c-5b334f735746,1764,9854.75,"PJ's Coffee of New Orleans, LLC","PJs Coffee - Collier Rd Atlanta, GA",false,false
188790a5-10d4-4275-b193-c51d90cb8d3e,1767,4470.29,Vivid Group,Vivid Development Office Lease,true,true
85bc8496-87aa-40f8-8ae9-a4c53c2cf353,1766,4470.29,Vivid Group,Vivid Development Office Lease,true,false
df86c6ed-fa38-450e-a6d7-e5ed4eb916f6,1760,9490.68,Back 9 Golf,Back 9 - Kings Market - Roswell,true,false
bd8e9b3d-6011-4425-8422-8ec9f4be529f,1761,9490.68,Back 9 Golf,Back 9 - Kings Market - Roswell,false,false
645819b3-75b2-4beb-ba86-b611223d4f4a,1773,14542.5,Giggletown,Giggletown - Shiloh Crossing - Kennesaw,false,false
8dafd0cd-461e-4006-9118-59a747b639e2,1772,14542.5,Giggletown,Giggletown - Shiloh Crossing - Kennesaw,true,true
44fd5733-cfd8-42da-aabd-d1c8111ecc3e,1762,14505.11,Giggletown,Giggletown - Collection at Forsyth,false,true
4b12473b-c0d5-42aa-a847-b9c263026ad3,1763,14505.11,Giggletown,Giggletown - Collection at Forsyth,false,false
b7105931-21eb-43a0-8913-a7ca4c3889c6,1756,12257.68,FS8 - Nisreen,FS8 - East Cobb Crossing - Nisreen,true,true
d77fe3d9-30bd-4d29-b207-936d15c92671,1757,12257.68,FS8 - Nisreen,FS8 - East Cobb Crossing - Nisreen,false,false
a1660c1d-225c-4ff4-89f2-664b4fde2989,1758,7262.64,Fyzical - Joshua Backing,Fyzical - Josh - Castleberry Promenade,true,true
cc56074c-ece5-4012-979f-ecf93f595bac,1759,7262.64,Fyzical - Joshua Backing,Fyzical - Josh - Castleberry Promenade,false,false
2b63fc87-2fb3-4736-be9b-12ea9652954d,1753,39018,"T-Mobile US, Inc.","T-Mobile - Lithonia, GA",false,true
8bd374b9-c4c7-4478-8f0e-20b3910e7b3e,1752,39018,"T-Mobile US, Inc.","T-Mobile - Lithonia, GA",true,true
dcf4ae85-6ff9-4c98-bb11-2e25d80e08b7,1740,8385.08,Back 9 Golf,"Back 9 Golf - Braselton, GA",false,false
4a9bf2da-a1c5-4cc0-a848-6c79032a6110,1739,8385.08,Back 9 Golf,"Back 9 Golf - Braselton, GA",true,false
c32aa7e9-18bd-4572-8a26-f84f15239955,1747,9013.53,Dumont Creamery & Cafe,"Dumont Creamery & Cafe - Sandy Springs, GA",false,false
e8b6600f-402b-469d-b045-28258f139191,1746,9013.53,Dumont Creamery & Cafe,"Dumont Creamery & Cafe - Sandy Springs, GA",true,false
262354cb-1a4f-40a7-acb4-940d687ee529,1732,6487.76,Quadra Commercial,Healthpeak Referral Fee - Ryan Wesner,true,false
935c9bcc-abd1-408a-ba75-a4229412b1df,1738,16216.41,Bodenvy,"Bodenvy - Sandy Springs, GA",false,false
876b0c70-50e3-4276-a3e6-12512bdd34e1,1737,16216.41,Bodenvy,"Bodenvy - Sandy Springs, GA",true,true
ec042120-bb57-4064-98ff-b25396470c56,1741,16000,Hawaiian Bros,HB - Atl Hwy - Cumming,false,false
198517c2-c215-4b91-9191-300e59fe9a3f,1743,28500,Huey Magoo's - Mangesh,"HM - Dublin, GA Pizza Hut",false,false
9fd3c28b-aed7-49c9-b417-e2535a5e939a,1730,9677.81,Wayback Burgers,"Wayback Burgers - Rincon, GA",true,false
